,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""","In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?
0,0,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,"Visit monuments, historic sites",No - I do not trust them,Yes - I would like more opportunities to participate
1,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,"Visit conferences, seminars (outside of institutional requirements)",,
2,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Visit cultural events on the street or at public squares,,
3,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Visit a park for a walks or leisure,,
4,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Attend sporting events as a spectator,,
5,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Practice some sport of physical activity on a regular basis,,
6,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
7,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Visit a musical/dancing event (not including weddings),,
8,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Visit an outdoors bazaar,,
9,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Visit an indoors bazaar/mall,,
10,0dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Visit a community centre,,
11,1,25 - 44 years,Male,"200,001 and above",Ferozabad,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
12,1dup,25 - 44 years,Male,"200,001 and above",Ferozabad,"Visit monuments, historic sites",,
13,1dup,25 - 44 years,Male,"200,001 and above",Ferozabad,Visit cultural events on the street or at public squares,,
14,1dup,25 - 44 years,Male,"200,001 and above",Ferozabad,Visit a park for a walks or leisure,,
15,1dup,25 - 44 years,Male,"200,001 and above",Ferozabad,Practice some sport of physical activity on a regular basis,,
16,1dup,25 - 44 years,Male,"200,001 and above",Ferozabad,"Visit a fair (books, food, crafts)",,
17,1dup,25 - 44 years,Male,"200,001 and above",Ferozabad,"Visit a religious building (mosque, church, temple, etc)",,
18,1dup,25 - 44 years,Male,"200,001 and above",Ferozabad,Visit an outdoors bazaar,,
19,1dup,25 - 44 years,Male,"200,001 and above",Ferozabad,Visit an indoors bazaar/mall,,
20,2,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,No - I do not trust them,No - I would like the opportunities to participate
21,2dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a theatre (play, movies)",,
22,3,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
23,3dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,Visit cultural events on the street or at public squares,,
24,3dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,Visit a park for a walks or leisure,,
25,3dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,Attend sporting events as a spectator,,
26,3dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,"Visit a religious building (mosque, church, temple, etc)",,
27,3dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,Visit a musical/dancing event (not including weddings),,
28,3dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,Participate in a protest,,
29,3dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,Visit an outdoors bazaar,,
30,4,25 - 44 years,Female,Prefer not to answer,Outside Karachi,,No - I do not trust them,No - I would like the opportunities to participate
31,5,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
32,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,"Visit monuments, historic sites",,
33,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,"Visit conferences, seminars (outside of institutional requirements)",,
34,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Visit cultural events on the street or at public squares,,
35,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Visit a park for a walks or leisure,,
36,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Attend sporting events as a spectator,,
37,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Practice some sport of physical activity on a regular basis,,
38,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,"Visit a theatre (play, movies)",,
39,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,"Visit a fair (books, food, crafts)",,
40,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,"Visit a religious building (mosque, church, temple, etc)",,
41,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Visit a musical/dancing event (not including weddings),,
42,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Participate in a protest,,
43,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Visit an outdoors bazaar,,
44,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Visit an indoors bazaar/mall,,
45,5dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,"Visit a natural area (hills, lakes, mangroves, etc)",,
46,6,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
47,6dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Visit monuments, historic sites",,
48,6dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
49,6dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
50,7,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit conferences, seminars (outside of institutional requirements)",Indifferent,No - I would like the opportunities to participate
51,7dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
52,7dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
53,7dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Participate in a protest,,
54,7dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
55,7dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
56,8,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
57,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,"Visit monuments, historic sites",,
58,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",,
59,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Visit cultural events on the street or at public squares,,
60,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
