Timestamp,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,How do you get to Clifton Beach most of the time?,What are your top motivations for going to Clifton Beach? You can select up to 3,Where do you access the beach from most of the time?,Which of the two statements do you agree with more?,Which one of the following statements apply to you?,What are your top priorities for Clifton Beach in the next year? You can select up to 3.,How do you feel regarding the caretaking and evolution of Clifton beach?,What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?,"In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?,What is your most favourite place in Karachi?,"If you had unlimited funds, how would you change Clifton Beach?",Do you like going to the beach? Why if you do? Why not if you do not?,Do you feel safe while at the beach?,"If yes, then at what time of the day?","If not, why?",On what days do you prefer going to the beach?,At what time are you most likely to visit the beach?,How long do you spend at the beach?,How do you rate the following facilities? [Seating],How do you rate the following facilities? [Cleanliness],How do you rate the following facilities? [Shading Devices],How do you rate the following facilities? [Public Washrooms],How do you rate the following facilities? [Recreational Amenities],How do you rate the following facilities? [Lighting],How do you rate the following facilities? [Pathways/Walking Infrastructure],How do you rate the following facilities? [First Aid],What kind of company do you prefer when at the beach?,Have you ever made any new friends at the beach?
2021/03/09 1:06:30 pm GMT-4,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Special events held in the vicinity",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit monuments, historic sites;Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Attend sporting events as a spectator;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit a musical/dancing event (not including weddings);Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a community centre",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 1:16:43 am GMT-4,25 - 44 years,Male,"200,001 and above",Ferozabad,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,Helping hawkers and supporting them to upgrade their business,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 1:23:25 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,Cleanliness,Important,"Practice some sport of physical activity on a regular basis;Visit a theatre (play, movies)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 1:30:12 am GMT-4,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit museums, galleries;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Attend sporting events as a spectator;Visit a religious building (mosque, church, temple, etc);Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 1:32:23 am GMT-4,25 - 44 years,Female,Prefer not to answer,Outside Karachi,Not often (few times in many years),Private vehicle,"Most accessible (public beach closest to urban Karachi);Celebrating (personal milestones, special occasions, etc);Tourism",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,NULL,No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 1:43:28 pm GMT-4,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Celebrating (personal milestones, special occasions, etc);Relief (from climate, from stresses, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Positively - There are several welcome developmental changes,Less pollution. I think just keeping the beach clean will do. If authorities place other facilities I think it will be over done. We want beaches to remain natural and away from material luxury (beach is a luxury in it self). I want it to look as beautiful as beaches look in tumblr or Pinterest posts or in  indie hollywood films,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Attend sporting events as a spectator;Practice some sport of physical activity on a regular basis;Visit a theatre (play, movies);Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 1:45:29 am GMT-4,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,if it was cleaner and easier to access,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit a park for a walks or leisure;Visit a religious building (mosque, church, temple, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 1:45:45 pm GMT-4,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Negatively - I feel a sense of frustration and/or loss,"cleanliness, access to bathrooms/rest rooms, women friendly",Important,"Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall",Indifferent,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 1:53:09 am GMT-4,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Negatively - I feel a sense of frustration and/or loss,DHA should stop dumping sewage into the sea,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc);Visit a community centre",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 10:53:10 am GMT-4,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),Chartered bus for trip to beach,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc);Tourism",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,Make it clean,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit an indoors bazaar/mall",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
