,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What are your top priorities for Clifton Beach in the next year? You can select up to 3.,op: What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?
0,0,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)",Those who litter should be fined/punished,Important
1,0dup,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
2,0dup,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
3,1,25 - 44 years,Male,"175,000 - 200,000 rupees",Kemari,"Amenities (like: washrooms, washing areas, lockers, etc)",By not discharging untreated sewerage waste in it and public by not littering,Important
4,1dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Kemari," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
5,1dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Kemari," Seating (like: beach umbrellas for shade, picnic benches, etc)",,
6,2,45 years and above,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",There should be proper department to manage beach work .it should not be under sindh gov or DHA either because we all know how they works for Karachi .From parking mafia to canteen wala all private mafias are working it should be a family beach with strict security of rangers.,Important
7,2dup,45 years and above,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
8,2dup,45 years and above,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
9,3,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
10,3dup,25 - 44 years,Male,"200,001 and above",Outside Karachi," Natural areas (like: forests, gardens, etc)",,
11,3dup,25 - 44 years,Male,"200,001 and above",Outside Karachi," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
12,4,45 years and above,Female,Prefer not to answer,Gulzar-e-Hijri,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness or regulation is very important,Important
13,4dup,45 years and above,Female,Prefer not to answer,Gulzar-e-Hijri," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
14,4dup,45 years and above,Female,Prefer not to answer,Gulzar-e-Hijri," Seating (like: beach umbrellas for shade, picnic benches, etc) ",,
15,5,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulberg,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Indifferent
16,5dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulberg," Commerce (like: restaurants, bazaars, malls, etc)",,
17,5dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulberg," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
18,6,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",-,Not Important
19,6dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
